micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
62169455,-14.16,-623.54,-771.48,1.60,-1.36,3.27,-40.05,9.60,-51.45,
62189462,-10.74,-618.16,-765.14,1.18,-2.21,-1.36,-40.65,7.20,-51.90,
62209469,-9.28,-625.00,-776.86,0.81,-2.92,2.93,-41.10,8.10,-51.45,
62229476,-23.44,-629.39,-791.50,1.44,-3.44,-0.70,-40.80,8.10,-51.45,
62249485,-10.74,-614.75,-788.57,-0.52,-1.82,-1.05,-40.05,7.80,-51.75,
62269491,-12.21,-620.61,-795.41,1.34,-0.56,3.53,-39.75,8.85,-51.75,
62289503,-4.39,-626.46,-785.16,1.27,0.26,2.12,-40.80,9.60,-52.20,
62309511,-16.60,-623.54,-798.83,0.96,0.78,-1.33,-42.15,8.10,-51.45,
62329518,-25.39,-626.95,-762.70,-1.50,0.60,-2.99,-39.90,9.45,-51.60,
62349527,-23.44,-614.75,-771.48,-0.41,2.50,-1.60,-40.95,8.70,-50.25,
62369532,-24.41,-620.61,-763.18,-2.95,2.11,-3.31,-40.50,8.55,-51.45,
62389540,-39.06,-617.68,-769.53,-1.47,0.90,-1.47,-40.65,7.95,-51.90,
62409552,-22.95,-608.40,-773.44,-0.29,0.08,-3.42,-41.10,7.80,-52.20,
62429563,-14.65,-617.68,-785.16,-1.36,1.11,-3.02,-40.80,6.75,-50.10,
62449571,-3.42,-632.81,-785.64,-2.96,-1.22,-0.96,-43.50,7.95,-51.30,
62469577,-13.67,-626.95,-787.60,-0.87,1.54,-3.01,-41.85,6.30,-50.70,
62489583,-27.34,-631.84,-776.86,-2.20,4.29,-0.96,-41.40,7.95,-49.95,
62509593,-29.79,-617.19,-787.11,-0.79,0.81,0.84,-40.50,7.35,-52.20,
62529600,-28.81,-631.84,-775.39,0.34,-0.09,-0.18,-41.70,7.95,-50.85,
62549612,-17.09,-621.58,-780.76,1.39,-3.88,0.56,-40.95,7.95,-51.90,
62569618,-6.35,-626.46,-786.13,3.11,-0.61,1.79,-40.95,8.70,-51.60,
62589629,0.00,-606.93,-786.62,2.87,1.30,1.53,-40.05,7.80,-52.20,
62609634,-10.74,-622.56,-784.67,1.74,0.69,0.92,-41.55,7.80,-50.40,
62629640,-35.16,-633.30,-779.30,3.40,-0.84,0.17,-40.65,7.95,-51.90,
62649649,-31.25,-633.79,-784.67,0.95,0.37,0.93,-40.50,8.10,-51.15,
62669658,-26.37,-610.84,-771.00,1.54,2.78,-0.81,-41.40,7.65,-50.25,
62689665,-8.79,-634.77,-773.44,0.03,-1.71,-0.31,-39.75,8.10,-53.10,
62709670,-7.81,-612.79,-770.51,-1.36,2.78,-1.92,-39.75,8.10,-51.45,
62729678,-14.16,-633.30,-775.39,0.37,0.18,-1.68,-42.15,8.10,-51.15,
62749687,-11.23,-614.26,-791.02,-1.42,3.37,-4.64,-41.40,7.65,-50.85,
62769697,-1.46,-620.61,-786.13,-1.97,1.50,-1.57,-39.60,9.75,-51.60,
62789703,-6.35,-617.19,-797.85,-3.25,1.97,-2.11,-40.65,8.70,-52.35,
62809713,2.44,-611.82,-779.30,-1.07,0.81,0.03,-40.95,8.40,-50.55,
62829725,-10.25,-625.00,-784.67,-1.80,3.45,1.16,-40.80,9.30,-51.15,
62849729,-24.41,-633.30,-788.09,0.00,2.18,-0.52,-40.20,7.65,-52.35,
62869738,-34.18,-635.25,-782.71,1.48,1.47,-2.53,-40.95,8.40,-50.85,
62889743,-16.11,-624.02,-778.81,2.67,-2.34,-0.56,-42.00,8.40,-51.30,
62909748,-21.00,-625.00,-783.20,1.31,0.08,0.79,-40.05,7.80,-52.20,
62929753,-12.70,-624.02,-793.95,-0.37,-1.57,-0.81,-40.65,9.00,-51.90,
62949759,3.91,-617.68,-786.13,0.89,1.25,0.27,-40.50,8.10,-52.80,
62969770,-35.16,-641.60,-787.11,2.09,-1.74,0.14,-39.45,8.10,-51.75,
62989777,-25.39,-619.63,-777.34,2.06,2.63,1.73,-40.50,7.80,-51.75,
63009782,-26.37,-613.77,-763.67,1.85,0.49,2.06,-41.10,8.10,-49.65,
63029787,-22.46,-618.65,-789.55,0.26,0.20,-0.44,-41.70,7.65,-51.60,
63049792,-21.97,-602.54,-835.94,-0.82,3.40,-0.89,-40.65,7.95,-50.85,
63069798,-21.97,-617.68,-773.44,-3.80,1.94,-0.79,-43.05,7.95,-48.90,
63089805,-11.23,-632.81,-756.35,0.72,4.21,-2.85,-40.65,7.95,-52.35,
63109812,-20.51,-613.28,-780.76,-1.37,1.91,-4.49,-40.50,8.55,-52.20,
63129823,-19.53,-624.02,-778.32,-0.46,2.69,-3.40,-40.80,8.10,-51.75,
63149830,-19.04,-632.81,-778.32,0.79,1.36,-1.68,-41.70,10.20,-51.90,
63169839,-28.81,-635.25,-791.02,2.20,5.37,-3.86,-39.60,8.40,-50.85,
63189849,-7.81,-611.33,-760.25,-0.95,1.97,-2.46,-41.40,7.95,-51.30,
63209855,-30.76,-630.86,-786.13,0.40,1.16,0.27,-42.15,7.35,-52.80,
63229860,-9.28,-623.54,-784.67,-0.35,3.76,-3.73,-42.15,7.35,-52.80,
63249868,-0.49,-605.47,-762.21,2.70,-0.06,0.56,-40.20,6.90,-51.60,
63269880,-16.11,-619.63,-772.46,1.11,-0.09,1.07,-40.80,7.35,-52.50,
63289887,-6.35,-614.26,-772.46,-0.35,0.40,-3.02,-41.85,8.85,-51.75,
63309894,-7.81,-627.44,-779.30,3.27,-1.34,-1.27,-40.80,8.55,-52.20,
63329904,-11.23,-637.70,-799.80,2.90,-4.41,0.11,-40.05,7.80,-52.20,
63349916,-8.79,-624.51,-781.25,0.49,-0.56,0.46,-41.70,9.45,-50.55,
63369922,-15.14,-622.07,-773.93,1.82,0.32,-1.68,-40.20,10.20,-51.90,
63389929,-3.42,-604.00,-774.90,2.75,-1.31,2.35,-40.95,7.65,-51.30,
63409938,-15.14,-607.42,-762.21,2.24,1.04,-0.64,-39.45,9.30,-51.15,
63429948,-22.95,-612.79,-777.83,1.48,-2.21,0.02,-41.10,8.55,-51.45,
63449959,11.23,-620.61,-785.16,2.46,-2.08,0.98,-40.05,7.80,-51.45,
63469963,-12.21,-626.95,-761.72,-0.73,2.15,-3.68,-40.20,8.70,-50.85,
63489970,-17.58,-633.30,-785.64,-1.15,0.47,1.98,-41.70,7.65,-49.50,
63509975,-11.23,-621.09,-768.07,-1.65,1.59,-3.83,-40.50,7.80,-49.65,
63529979,-5.37,-625.98,-769.53,-0.90,-1.31,-1.37,-39.45,8.10,-51.75,
63549985,-17.58,-630.37,-770.51,-0.14,0.66,-2.05,-41.70,7.95,-49.50,
63569994,-11.72,-620.61,-772.95,0.73,-2.00,-3.25,-40.80,7.35,-51.75,
63590004,-25.39,-646.48,-772.95,-0.61,-0.69,-2.20,-40.05,8.55,-51.45,
63610013,-9.77,-630.86,-776.86,-1.50,1.74,-5.34,-41.70,9.45,-51.60,
63630025,-10.74,-617.19,-762.70,0.41,-0.14,-2.12,-40.50,8.55,-50.70,
63650031,-10.25,-605.47,-750.98,1.53,-3.63,-4.05,-42.15,8.10,-50.70,
63670037,-18.55,-611.33,-770.02,1.92,-2.73,-1.13,-40.65,7.20,-50.85,
63690043,-25.39,-626.46,-782.71,3.47,-1.94,0.38,-41.40,7.20,-51.90,
63710052,-22.46,-645.51,-782.23,2.38,-2.87,-1.97,-40.95,7.20,-51.60,
63730055,-22.46,-623.54,-766.60,2.63,-1.88,-2.79,-40.05,10.05,-49.65,
63750066,-17.58,-621.09,-761.23,0.99,-3.16,0.29,-39.45,8.85,-51.45,
63770078,-6.35,-608.89,-764.16,0.82,-4.66,-1.02,-41.40,7.95,-49.95,
63790084,-6.84,-614.75,-775.88,0.89,-2.26,1.88,-41.10,8.55,-50.10,
63810092,-15.62,-631.35,-795.90,-2.12,-1.66,-2.31,-42.00,8.70,-52.35,
63830099,-10.25,-642.09,-770.02,-1.33,-1.88,-4.78,-40.50,9.60,-52.20,
63850106,5.86,-637.70,-793.95,-0.90,-1.48,-5.54,-41.40,8.70,-51.30,
63870118,-10.74,-616.21,-791.50,-1.47,1.05,-3.65,-41.70,9.75,-52.35,
63890124,-13.67,-620.12,-770.02,0.23,0.46,-2.63,-42.60,9.30,-51.75,
63910134,-20.51,-625.00,-773.44,-1.33,2.87,-1.85,-40.50,8.55,-51.45,
63930143,-24.90,-611.82,-764.65,-2.11,3.25,-0.41,-42.60,7.35,-50.10,
63950151,-25.88,-638.18,-768.07,-1.65,1.57,-3.74,-41.40,7.65,-51.60,
63970161,-12.70,-628.91,-779.79,-1.37,1.82,-3.33,-40.05,8.55,-51.45,
63990171,-8.79,-625.49,-762.70,-1.94,1.18,-0.87,-39.90,9.75,-50.55,
64010183,-16.60,-643.55,-783.69,-2.49,2.46,1.11,-39.90,9.45,-50.85,
64030192,2.93,-628.91,-779.30,1.92,-0.44,0.43,-40.05,10.05,-51.15,
64050204,-8.79,-643.55,-765.62,3.39,-2.32,0.26,-41.10,7.05,-51.45,
64070212,-5.86,-639.65,-772.95,1.02,-2.61,0.38,-41.55,9.60,-51.75,
64090217,-7.32,-639.65,-801.76,2.06,-0.15,-1.16,-41.40,7.65,-49.95,
64110229,-9.77,-635.25,-778.32,1.01,-1.40,-0.81,-40.80,8.10,-52.50,
64130236,-11.72,-642.58,-783.69,2.50,-1.10,-2.03,-40.20,9.00,-51.30,
64150247,-9.28,-633.30,-794.92,2.21,-1.57,-1.44,-40.65,8.40,-51.30,
64170252,2.44,-627.44,-777.83,2.00,0.27,-0.58,-39.90,9.00,-51.60,
64190262,-7.81,-617.68,-775.88,1.59,0.20,1.83,-40.65,9.75,-51.60,
64210268,-10.74,-608.89,-764.16,0.06,2.47,1.74,-41.55,9.30,-51.45,
64230271,-18.55,-643.07,-791.02,-0.37,1.91,-2.76,-41.55,8.55,-50.40,
64250276,-5.37,-616.70,-761.23,-1.18,2.12,-2.02,-42.90,8.55,-49.65,
64270282,-22.46,-612.79,-767.58,-0.20,-0.11,0.89,-41.70,8.40,-51.60,
64290289,-11.23,-630.37,-763.67,0.79,3.59,-1.66,-40.65,9.75,-52.35,
64310296,-17.58,-622.07,-771.97,-1.22,3.33,0.23,-41.85,7.80,-49.65,
64330303,-21.48,-629.39,-761.72,-1.01,2.79,0.50,-40.95,9.45,-53.70,
64350310,-9.77,-635.74,-765.62,-0.82,1.54,-0.20,-40.05,7.05,-51.15,
64370318,-8.79,-635.74,-787.11,3.71,0.84,2.87,-41.85,9.30,-51.45,
64390329,-1.95,-628.91,-787.11,2.63,-1.92,-0.03,-41.40,8.70,-51.30,
64410334,-7.81,-631.35,-770.51,0.67,-0.84,-0.84,-40.80,8.10,-52.50,
64430340,0.00,-627.93,-786.62,4.00,-0.55,0.23,-39.90,9.00,-50.85,
64450349,-15.14,-617.19,-787.11,4.12,-0.34,0.72,-40.50,8.10,-52.80,
64470359,-13.18,-628.91,-783.20,3.92,0.06,1.80,-40.05,8.10,-51.75,
64490364,-7.32,-613.77,-772.46,2.95,-3.36,0.00,-40.65,9.00,-51.90,
64510370,-7.32,-612.30,-780.76,1.80,-1.44,2.00,-40.50,7.35,-50.70,
64530381,-4.88,-627.93,-769.53,0.29,1.05,-1.65,-42.15,7.05,-50.40,
64550387,-15.14,-614.26,-778.32,2.41,0.02,-0.12,-40.95,8.70,-51.90,
64570398,-13.67,-621.09,-779.79,-1.28,2.75,-1.73,-41.85,7.05,-50.70,
64590407,-11.72,-613.28,-769.04,-4.34,2.46,-2.21,-44.10,6.45,-49.95,
64610413,-12.21,-626.95,-761.72,-2.15,1.05,-1.88,-40.95,7.95,-51.30,
64630424,-2.93,-629.88,-778.32,-0.64,1.54,0.00,-40.50,7.80,-50.40,
64650432,-11.23,-633.30,-774.90,-1.13,2.20,-1.18,-41.55,7.80,-50.10,
64670437,-19.04,-644.04,-776.37,-4.61,-0.23,-3.39,-43.05,7.65,-49.95,
64690442,-5.37,-646.97,-788.09,-1.10,2.50,-1.95,-40.20,8.40,-51.30,
64710452,-3.42,-631.84,-782.23,-2.31,1.86,-1.18,-41.10,9.30,-51.15,
64730457,1.46,-633.30,-777.83,-1.19,0.58,-1.16,-40.80,9.60,-52.20,
64750469,10.25,-612.79,-777.34,-1.19,0.81,-1.65,-40.65,7.95,-52.65,
64770476,-17.09,-640.62,-782.23,0.79,-0.32,1.08,-41.70,8.40,-50.25,
64790485,-25.88,-646.48,-780.76,3.86,-1.80,1.21,-41.70,8.40,-51.90,
64810495,-8.30,-615.72,-768.55,2.81,1.56,-0.81,-40.65,8.70,-50.85,
64830502,-21.97,-621.58,-764.65,-0.46,-2.53,-0.92,-40.95,10.20,-50.85,
64850511,-7.32,-622.07,-764.65,0.46,0.11,-2.09,-42.15,7.05,-48.60,
64870518,-1.46,-625.49,-766.60,3.33,-2.61,0.06,-42.00,7.95,-50.85,
64890525,1.95,-625.49,-773.93,1.76,0.82,-2.64,-39.90,8.40,-51.60,
64910535,-9.77,-619.63,-764.16,1.04,-0.61,-0.63,-41.70,10.20,-50.85,
64930544,-1.95,-618.65,-768.07,2.41,-0.90,3.65,-41.10,7.35,-51.15,
64950551,-7.81,-623.05,-767.58,0.61,-1.28,-1.62,-41.70,9.75,-51.90,
64970558,-5.86,-629.39,-774.90,-4.84,1.83,-6.58,-42.00,9.00,-51.60,
64990568,8.30,-619.63,-804.20,-3.18,-0.11,-3.34,-40.65,7.65,-51.90,
65010577,-30.76,-648.44,-783.69,-2.70,3.80,-3.48,-39.75,8.55,-51.15,
65030586,1.46,-616.21,-772.46,-1.04,1.76,-2.61,-40.20,9.00,-50.85,
65050595,-15.14,-625.98,-765.14,1.21,4.49,-1.27,-41.40,8.40,-51.90,
65070599,-7.32,-624.02,-758.30,-0.72,0.20,-0.20,-43.35,7.05,-50.10,
65090603,-13.67,-632.81,-758.30,-2.03,0.49,-4.24,-42.45,8.40,-50.25,
65110610,-20.51,-646.48,-767.58,-1.19,0.09,-1.44,-41.55,8.10,-51.45,
65130616,1.95,-626.95,-782.23,-0.41,1.08,-2.50,-40.95,7.95,-50.25,
65150625,15.62,-611.33,-803.71,0.35,-0.15,0.55,-40.95,8.70,-50.85,
65170635,-8.30,-628.42,-798.34,0.23,0.92,1.37,-41.55,9.30,-50.40,
65190644,7.32,-633.79,-776.37,-0.78,2.06,1.16,-41.10,9.60,-50.70,
65210654,1.95,-637.70,-766.11,1.80,-0.72,1.62,-40.05,8.10,-51.15,
65230665,-1.46,-614.75,-769.53,1.44,0.76,-0.72,-41.85,8.10,-52.20,
65250673,-13.18,-630.37,-759.77,2.61,-0.38,1.60,-42.45,9.00,-51.90,
65270679,-22.95,-651.37,-770.02,-0.27,2.84,0.63,-42.75,7.65,-51.30,
65290691,-8.79,-630.37,-782.23,-1.08,-2.76,2.76,-40.95,9.75,-51.60,
65310699,-26.37,-641.11,-778.81,-0.03,3.51,0.64,-39.75,9.30,-50.70,
65330706,-10.74,-625.98,-765.62,2.73,-2.43,0.11,-41.70,9.75,-51.60,
65350713,-10.25,-634.77,-775.39,-1.51,0.21,-1.44,-41.55,10.35,-52.20,
65370722,-7.32,-640.14,-777.83,0.24,0.75,0.27,-42.75,7.65,-51.60,
65390726,-2.93,-635.25,-773.44,-0.06,2.00,-3.02,-41.70,9.45,-51.90,
65410736,-7.32,-620.12,-777.34,-1.51,5.39,-1.68,-41.10,8.10,-51.75,
65430747,-12.21,-625.00,-776.37,-2.17,2.72,-1.21,-41.85,7.80,-50.70,
65450753,-4.39,-620.12,-784.67,0.14,0.24,0.58,-40.65,8.40,-51.90,
65470760,-0.98,-636.23,-768.07,-0.93,4.37,0.15,-40.80,9.60,-52.20,
65490765,-4.88,-622.07,-762.70,0.72,-0.49,-2.17,-42.00,8.40,-52.65,
65510772,1.46,-625.49,-792.97,-0.05,1.91,-0.84,-40.50,8.10,-51.45,
65530780,10.25,-617.68,-787.11,-1.76,1.97,-1.66,-41.40,6.90,-51.30,
65550792,7.32,-624.51,-792.48,0.64,-2.46,1.69,-40.65,8.70,-50.85,
65570800,17.09,-627.93,-776.37,-0.43,-0.34,0.05,-42.00,8.40,-49.50,
65590807,-1.46,-627.44,-778.32,4.31,1.45,0.32,-41.40,7.20,-50.55,
65610816,-17.58,-623.54,-758.30,2.67,-0.50,-0.23,-41.70,9.45,-51.60,
65630825,-16.11,-607.91,-750.49,1.50,2.32,2.78,-40.65,9.45,-49.95,
65650831,-9.77,-628.42,-782.71,1.36,1.97,-0.72,-40.80,9.30,-50.10,
65670838,-5.37,-630.37,-760.74,1.85,-1.53,-2.43,-40.05,10.05,-50.70,
65690846,2.93,-635.74,-776.37,-0.14,-1.51,-2.50,-41.40,9.00,-51.30,
65710855,5.37,-622.56,-793.95,1.16,2.21,1.13,-39.90,9.45,-49.95,
65730860,-8.79,-636.23,-786.13,1.18,5.73,-1.68,-42.60,8.10,-50.10,
65750866,6.35,-622.07,-788.57,0.58,3.33,-2.47,-42.45,8.40,-51.60,
65770874,5.37,-631.35,-772.46,-0.34,6.14,-3.76,-40.95,8.70,-50.55,
65790882,-2.93,-629.39,-795.41,-2.66,5.97,-2.87,-42.45,9.45,-52.35,
65810889,-0.49,-641.11,-767.09,2.34,4.50,-1.42,-41.55,9.60,-52.50,
65830896,-5.86,-644.53,-766.11,-0.55,5.24,-3.89,-40.20,9.45,-51.60,
65850904,-12.21,-634.77,-773.44,-2.03,1.62,-2.79,-42.45,9.00,-50.25,
65870914,53.22,-609.38,-779.30,-0.20,4.00,0.92,-43.35,8.85,-50.10,
65890919,41.50,-603.03,-741.70,-1.39,-2.09,0.29,-44.40,9.60,-49.35,
65910927,1.46,-633.30,-764.65,0.95,1.05,-1.85,-41.40,10.20,-50.55,
65930938,9.28,-635.74,-781.74,-1.88,4.90,0.87,-42.60,7.80,-50.70,
65950943,1.95,-649.90,-780.76,4.11,1.89,2.03,-41.85,9.60,-49.65,
65970953,-0.98,-643.07,-777.83,3.36,3.42,3.42,-40.65,9.00,-51.30,
65990961,2.93,-646.97,-750.00,0.92,-0.93,1.83,-41.70,7.95,-51.30,
66010967,0.00,-632.81,-758.30,-0.03,-1.22,0.43,-41.10,9.30,-49.65,
66030972,6.84,-622.56,-771.97,0.75,-2.41,1.47,-43.05,6.90,-49.20,
66050982,11.72,-627.93,-774.90,1.10,-2.60,-1.40,-41.55,9.30,-51.75,
66070992,7.81,-618.65,-773.44,4.34,-2.55,1.59,-41.85,8.55,-50.40,
66091000,7.81,-616.21,-773.93,2.79,1.30,4.27,-40.95,9.00,-50.85,
66111010,8.79,-639.65,-796.39,0.87,0.34,-0.03,-41.85,9.30,-51.45,
66131015,21.00,-623.05,-741.70,0.78,1.83,1.69,-42.45,9.45,-49.50,
66151023,8.30,-620.12,-772.46,0.44,-0.66,1.24,-42.00,8.70,-49.95,
66171029,20.02,-639.65,-771.00,-0.84,3.62,0.82,-42.75,8.40,-49.20,
66191039,-6.35,-620.61,-770.02,0.21,4.32,0.79,-42.15,10.05,-51.45,
66211045,-6.35,-644.53,-773.44,1.98,4.64,-1.59,-41.85,9.30,-50.70,
66231050,12.70,-625.98,-714.84,-0.35,5.59,-1.59,-41.70,8.40,-50.85,
66251062,4.88,-625.98,-779.79,-1.36,3.47,-2.56,-42.00,9.00,-50.85,
66271074,24.41,-625.00,-765.14,-2.18,1.47,-0.82,-41.55,8.55,-49.65,
66291082,1.95,-651.37,-775.88,-0.32,1.47,-2.40,-40.50,8.55,-51.15,
66311089,8.30,-621.58,-771.97,-3.85,2.44,0.72,-40.50,8.55,-51.15,
66331097,10.74,-638.67,-762.70,-3.68,2.12,-1.01,-42.45,7.95,-51.30,
66351105,7.81,-664.55,-778.81,-3.82,2.61,5.07,-43.65,8.55,-49.05,
66371109,5.37,-639.65,-769.04,-5.59,4.66,2.90,-42.45,9.00,-51.30,
66391114,-10.74,-643.55,-768.55,-3.82,0.78,2.70,-41.85,9.30,-50.70,
66411120,-61.52,-646.97,-741.70,-2.23,3.31,2.75,-42.60,8.55,-50.10,
66431131,50.29,-600.10,-782.71,2.60,-4.46,7.36,-41.40,9.00,-50.55,
66451142,10.74,-645.02,-760.74,-5.37,-8.69,-6.23,-41.55,9.30,-50.40,
66471148,-4.88,-666.02,-774.90,-10.73,1.13,-6.38,-41.70,6.90,-49.95,
66491156,33.69,-616.21,-789.55,-13.57,3.28,-5.59,-42.90,8.55,-50.10,
66511162,8.79,-623.05,-803.71,-10.29,-1.56,-3.16,-42.45,9.00,-51.60,
66531173,8.30,-628.91,-803.22,-7.65,1.79,0.81,-42.75,7.95,-51.30,
66551182,13.67,-614.75,-778.32,-1.13,-7.27,1.30,-42.90,9.30,-51.75,
66571189,8.79,-621.58,-831.05,0.87,-5.53,5.27,-42.00,8.70,-51.60,
66591200,-1.95,-616.70,-790.53,3.34,-5.31,6.12,-42.45,9.00,-51.60,
66611212,-7.32,-626.95,-771.97,2.56,-1.97,6.72,-42.00,8.40,-51.30,
66631220,7.81,-624.51,-762.70,2.40,-7.48,3.86,-42.15,9.60,-50.10,
66651228,0.49,-625.00,-792.48,1.18,-0.64,4.76,-42.00,8.70,-52.35,
66671240,31.74,-606.45,-769.53,-2.15,-2.96,2.32,-41.40,7.95,-50.55,
66691251,2.44,-640.62,-815.43,3.34,2.43,5.22,-41.85,8.10,-51.15,
66711261,-11.23,-647.95,-754.39,8.29,11.53,2.23,-41.55,8.55,-52.20,
66731271,0.98,-625.98,-746.09,7.56,5.85,3.18,-42.15,7.35,-52.20,
66751280,3.42,-639.16,-793.95,7.45,5.66,-2.85,-40.05,8.85,-51.45,
66771288,7.32,-610.35,-761.72,5.97,4.31,-0.76,-42.60,7.35,-49.35,
66791294,2.44,-596.19,-806.64,4.78,8.67,0.55,-41.40,8.70,-48.90,
66811300,-7.32,-637.21,-744.63,9.40,7.76,-0.70,-42.60,8.85,-51.75,
66831312,-21.00,-630.37,-757.32,12.18,7.50,0.31,-42.15,8.55,-50.40,
66851321,-7.32,-614.26,-734.38,5.85,3.86,2.11,-41.85,7.80,-49.35,
66871327,-0.49,-626.46,-758.79,5.73,0.66,4.06,-41.10,9.30,-51.45,
66891332,13.18,-594.73,-768.55,8.12,-2.35,4.87,-41.40,5.85,-50.25,
66911342,8.30,-656.74,-791.50,10.15,0.37,3.66,-40.95,9.45,-50.85,
66931351,-4.39,-667.97,-755.37,5.25,1.53,-1.25,-42.75,6.15,-48.90,
66951357,-11.23,-645.02,-788.09,7.82,0.70,-1.74,-40.50,8.10,-48.30,
66971364,16.11,-640.62,-774.41,8.93,7.94,0.60,-41.55,6.75,-49.35,
66991374,0.00,-659.67,-765.62,5.98,8.79,-2.32,-41.85,6.75,-49.65,
67011383,-6.35,-638.18,-755.37,2.37,3.71,2.47,-42.45,6.90,-49.50,
67031392,28.81,-665.04,-780.76,2.67,0.23,0.03,-40.05,7.05,-49.05,
67051396,-0.49,-648.93,-733.40,1.95,2.52,-2.18,-40.95,9.00,-50.25,
67071406,8.79,-648.93,-749.51,-1.94,-1.22,-2.08,-40.80,7.05,-50.10,
67091415,-6.35,-655.27,-760.25,-2.85,-2.09,-2.82,-41.55,7.05,-49.35,
67111423,23.93,-645.02,-786.62,0.05,0.63,-3.60,-41.70,7.65,-50.25,
67131435,12.70,-675.78,-762.21,2.02,1.40,-4.46,-42.15,9.30,-48.60,
67151440,15.62,-670.90,-786.62,2.58,5.34,-4.50,-41.70,7.20,-47.10,
67171449,6.35,-640.14,-741.70,3.45,6.29,-4.05,-41.70,7.65,-47.85,
67191457,9.77,-639.16,-717.77,0.69,3.89,0.14,-42.00,7.20,-48.90,
67211464,17.58,-620.12,-726.56,-1.89,2.43,-1.25,-42.00,9.45,-49.95,
67231470,31.74,-640.62,-746.09,-2.60,-0.31,0.35,-42.60,6.30,-47.25,
67251476,36.13,-640.14,-754.88,1.19,-2.70,3.86,-41.85,8.10,-49.05,
67271485,23.93,-691.41,-762.70,5.73,-1.85,3.37,-41.40,6.90,-49.50,
67291491,40.53,-653.32,-756.35,2.98,-1.51,5.66,-40.20,7.20,-49.20,
67311503,-31.25,-696.78,-747.07,5.36,-1.39,7.08,-41.55,7.80,-50.10,
67331508,11.23,-677.73,-746.09,6.24,-4.32,8.37,-41.10,6.75,-49.35,
67351518,81.54,-650.39,-742.68,9.19,-6.66,12.21,-42.15,7.05,-49.65,
67371530,25.39,-683.59,-729.00,11.01,-4.17,10.73,-41.85,6.30,-47.55,
67391538,6.84,-726.07,-800.78,8.29,-4.41,6.90,-41.70,4.35,-47.10,
67411547,15.62,-687.99,-752.93,6.17,-4.50,4.17,-41.10,7.80,-49.05,
67431556,23.44,-658.69,-763.67,8.26,-4.63,9.33,-40.50,6.30,-48.30,
67451565,21.00,-697.75,-759.28,19.36,-7.66,17.36,-41.10,7.05,-49.65,
67471575,4.39,-689.45,-774.41,18.06,-2.41,14.43,-40.05,6.30,-48.60,
67491584,-3.42,-696.78,-753.91,12.55,1.25,13.33,-40.05,6.75,-48.30,
67511590,-21.97,-701.66,-757.32,10.26,2.14,15.16,-40.50,6.30,-47.55,
67531601,-39.55,-700.20,-709.47,7.16,-1.63,10.82,-41.55,5.25,-47.25,
67551612,-51.27,-696.78,-742.68,9.80,-8.08,11.59,-40.65,5.10,-48.15,
67571619,-45.90,-740.23,-670.41,18.72,-7.22,12.40,-38.85,6.90,-47.40,
67591625,-200.68,-791.50,-675.29,17.63,-18.69,3.28,-38.10,6.90,-47.85,
67611636,-92.77,-690.43,-581.05,10.00,-18.93,-6.70,-39.60,5.40,-46.80,
67631647,-101.56,-672.36,-722.66,1.28,-17.74,-0.75,-39.75,4.80,-47.25,
67651652,-106.93,-651.37,-630.86,-5.68,-8.67,-2.50,-38.85,5.40,-48.15,
67671664,-78.61,-603.03,-657.71,-4.90,-40.43,7.39,-41.10,4.80,-46.20,
67691668,-30.76,-681.15,-760.74,15.31,-34.08,18.58,-40.50,4.80,-46.65,
67711673,-21.48,-716.31,-830.08,15.21,-33.21,7.77,-37.50,4.65,-47.40,
67731679,-66.41,-735.84,-666.50,12.60,-8.53,8.05,-38.55,5.40,-48.15,
67751689,-249.51,-765.14,-551.27,1.16,-5.60,31.02,-37.50,4.35,-46.35,
67771699,-59.08,-720.70,-638.18,6.73,-33.83,14.12,-37.50,5.10,-48.15,
67791706,-108.40,-710.45,-711.91,6.14,-29.42,16.29,-35.85,4.20,-48.00,
67811713,-149.41,-682.62,-707.03,5.33,-23.45,14.75,-37.50,4.35,-46.65,
67831725,-131.84,-715.33,-664.06,3.92,-18.18,17.33,-36.75,3.60,-48.90,
67851730,-157.23,-665.04,-719.73,3.91,-18.08,18.37,-36.75,4.35,-49.50,
67871736,-157.71,-682.13,-694.82,3.25,-15.02,8.38,-34.95,3.15,-48.45,
67891746,-140.14,-685.06,-690.92,2.15,-12.99,7.47,-34.65,4.65,-49.20,
67911758,-150.88,-721.68,-703.12,-0.53,-4.84,4.41,-34.50,3.75,-48.60,
67931764,-161.62,-715.82,-696.29,-5.98,-8.23,4.27,-34.65,3.60,-47.40,
67951770,-160.16,-681.15,-691.89,2.40,-4.18,6.70,-35.25,2.55,-47.10,
67971782,-194.34,-723.14,-699.71,5.33,-3.04,5.13,-34.95,3.60,-48.15,
67991788,-176.76,-698.73,-687.01,2.06,1.24,3.05,-34.80,3.00,-48.60,
68011796,-184.57,-715.33,-696.78,0.34,-0.96,1.73,-33.75,4.20,-48.60,
68031806,-193.85,-715.33,-682.13,4.40,4.12,6.32,-34.80,2.25,-46.65,
68051811,-158.69,-771.48,-695.80,11.88,-0.69,4.70,-33.90,3.15,-48.15,
68071823,-189.45,-779.30,-659.18,10.14,2.89,3.79,-33.90,3.60,-48.15,
