micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
2365164,-129.39,-763.67,-704.10,3.01,-0.17,-2.03,-33.90,14.85,-64.05,
2385176,-109.86,-734.38,-671.88,0.50,3.05,-0.21,-34.80,15.15,-64.65,
2405185,-76.17,-712.40,-600.10,3.65,-0.90,-1.47,-33.30,16.20,-66.00,
2425191,-94.24,-719.24,-595.21,0.58,0.32,-5.50,-33.60,16.35,-64.80,
2445198,-150.39,-771.97,-652.34,-2.05,2.98,-5.76,-33.15,16.35,-66.15,
2465203,-101.56,-716.31,-661.62,-4.84,0.12,-6.84,-34.05,15.90,-65.25,
2485211,-111.33,-743.16,-687.99,-6.26,-3.39,-2.35,-35.55,16.95,-65.25,
2505219,-105.96,-714.36,-726.07,-4.49,0.38,1.04,-34.65,14.55,-63.75,
2525230,-127.44,-737.79,-754.88,3.25,2.93,-4.99,-36.15,16.50,-63.30,
2545242,-111.33,-749.02,-697.75,6.06,10.98,-5.22,-33.75,15.15,-66.75,
2565248,-57.62,-703.61,-663.57,-1.48,10.03,-5.82,-34.65,15.30,-64.05,
2585256,-57.13,-679.69,-617.19,-5.69,3.73,1.73,-34.95,16.05,-64.50,
2605266,-107.91,-732.42,-663.57,-2.58,0.34,0.09,-34.05,16.20,-63.90,
2625276,-108.89,-739.75,-694.82,4.40,-0.06,-1.13,-34.95,15.30,-65.10,
2645284,-113.28,-749.51,-719.73,3.36,1.31,-2.06,-36.15,15.90,-63.60,
2665294,-109.86,-759.28,-719.73,1.97,3.98,1.57,-34.65,16.80,-64.50,
2685301,-78.12,-753.42,-677.73,-1.22,6.47,1.16,-33.60,17.85,-63.75,
2705311,-46.39,-736.33,-621.09,-3.44,4.85,2.67,-34.95,17.85,-64.80,
2725320,-29.30,-722.17,-590.33,-0.21,-0.49,3.95,-34.50,17.25,-64.20,
2745326,-48.34,-724.61,-608.89,0.44,-4.79,5.27,-33.75,16.50,-64.20,
2765336,-89.84,-767.58,-683.11,1.28,-4.96,4.93,-33.90,15.60,-63.75,
2785344,-121.09,-779.30,-743.16,0.76,-2.95,0.87,-34.95,16.80,-64.50,
2805354,-133.30,-788.09,-746.58,-3.30,0.49,0.05,-34.95,14.85,-63.75,
2825366,-69.82,-739.26,-669.43,-5.27,0.82,-0.47,-35.10,16.50,-65.70,
2845374,-36.62,-772.95,-614.26,-1.82,1.50,-4.15,-34.20,15.60,-64.80,
2865385,-44.92,-720.21,-586.43,-5.83,-3.27,-2.31,-35.55,16.95,-64.95,
2885396,-61.04,-740.23,-602.54,-2.60,-5.76,-5.48,-33.90,14.85,-65.10,
2905401,-85.45,-733.40,-668.46,-5.45,-5.36,-4.52,-33.30,16.95,-64.65,
2925406,-140.62,-756.35,-738.28,-3.69,-7.62,-3.80,-35.70,15.60,-65.55,
2945412,-113.28,-725.10,-745.61,-2.73,-4.27,-4.15,-35.55,15.90,-64.65,
2965417,-81.05,-672.85,-691.41,-3.68,-3.37,1.08,-33.75,16.20,-66.30,
2985427,-78.61,-682.13,-684.57,-0.14,-1.24,-2.40,-34.05,15.90,-66.00,
3005435,-99.61,-699.22,-668.46,-0.41,-0.69,-6.29,-33.30,16.20,-64.65,
3025444,-113.28,-699.22,-671.88,-4.46,-1.73,-2.53,-33.60,16.80,-66.15,
3045453,-104.49,-688.48,-692.87,-9.19,-0.72,1.05,-34.50,14.70,-65.70,
3065461,-105.96,-706.05,-716.80,0.06,-0.78,3.85,-34.80,16.95,-65.25,
3085467,-117.68,-715.82,-700.20,-0.58,-4.12,5.02,-35.55,15.15,-64.95,
3105475,-128.42,-741.21,-709.47,1.08,-3.25,3.05,-34.20,14.55,-65.10,
3125479,-132.32,-716.80,-721.19,1.44,-0.44,0.78,-34.50,16.50,-64.95,
3145487,-99.61,-706.54,-676.27,1.59,-0.34,5.73,-35.85,16.20,-66.30,
3165495,-93.26,-706.54,-648.44,-5.11,-0.98,6.64,-34.65,16.05,-66.90,
3185501,-100.59,-758.79,-642.58,1.53,-1.04,3.63,-33.90,16.05,-66.90,
3205506,-103.52,-737.79,-677.25,1.19,-6.08,-1.73,-33.30,17.25,-67.05,
3225513,-99.12,-700.68,-687.50,-5.44,-4.69,5.30,-32.85,16.35,-67.50,
3245525,-128.91,-696.78,-703.61,0.78,-1.44,2.47,-34.20,16.80,-65.10,
3265537,-130.37,-731.45,-703.12,1.25,-0.84,1.63,-32.25,15.90,-66.75,
3285547,-108.40,-751.46,-717.29,-1.80,-0.38,-3.18,-33.60,16.80,-67.20,
3305553,-85.94,-696.78,-683.59,-3.01,-1.69,0.90,-33.00,15.45,-67.05,
